art,t,bpm,s
Kitamura Eri,alive,180,462730
Petit Rabbit's,Tenkuu Cafeteria,154,1667654
Hei Jing,Shinobi Renka,189,762307
Tokimeki Idol project,Koishigure (Game Ver.),185,2028122
Umeri,paranoia,150,150914
Fox Stevenson,Take You Down,174,1112303
Shinra-Bansho,signal flare,180,2098718
Tsukasa (Arte Refact),Fragrance,180,1068557
Sagara Kokoro,Hoshizora no Ima,185,52584
Soken Masayoshi,Close in the Distance,85,1680581
7!!,Bye Bye (TV Size),130,38903
Ellie Goulding,Salt Skin,172,26745
Hazuki,Uso to Shinjitsu,190,956009
Katy Perry,California Gurls feat. Snoop Dogg,125,1480553
HARU NEMURI,NIGHT SWIMMING,102,1101254
TUYU,Chuuken Hachi,80,1510434
Yu-Peng Chen @HOYO-MiX,Qilin's Prance,154,1676335
Shimamiya Eiko,Naraku no Hana (TV Size),109,1282054
nanobii,popsicle beach,174,848068
Tommy heavenly6,PAPERMOON (TV Size),164,1063645
SadSvit,Kaseta,170,1756107
DJ YOSHITAKA,FLOWER,173,1818629
Alstroemeria Records,"Against, Perfect Cherry Blossom.",140,14615
Ayane,Lunatic Tears,176,8198
YURiCa,Amatsu Kitsune,190,1073173
Atarayo,"""Boku wa..."" (TV Size)",180,2128380
SUKIMASWITCH,Hoshi no Utsuwa,81,873632
ACE COLLECTION,Monoqlo City (TV Size),135,1425791
eufonius,You Were There,78,2137255
Aya Ishihara,Reset (Full ver),200,16641
"Yuzu (CV: Oono Yuuko), Satsuki (CV: Hata Sawako)",Yukibana Kirameku Ieji nite (TV Size),80,1927976
kradness & Reol,Oni KYOKAN,182,1726038
Kawada Mami,All In Good Time,156,40246
The Strokes,Selfless,122,2022971
livetune feat. Hatsune Miku,Finder,127,1930805
Masayoshi Soken,The Reach of Darkness,145,551049
SPLAY,Drawing Days (TV Size),175.98,8838
Leon,Tsubasa -resurrection-,160,1934116
aiko,Koi wo Shita no wa,82,594055
Sean Paul,Get Busy (Bhangra Remix),206.4,3448
DJ Contacreast,Melody From Heaven,71,6746
Yellow Zebra,Amagaeri,145,13152
sajou no hana,Tentou,197,1863628
Silver Forest,Cross Mind,164,22043
Noisestorm,Ignite,140,400597
Toy*GunGun,The Bravest Destiny,167,330822
Tanya Degurechaff (CV: Yuuki Aoi),Los! Los! Los! (TV Size),240,1750101
BotchiBoromaru,Otose Thunder,177,1807695
The Sketchbook,Message,176,1084747
Crywolf,Whisper (feat. emalyn),128,2035723
Wato Noeru,Futanari Nari ni,126,817793
nano,magenta,190,45069
milet,inside you,150,1229732
Laura Shigihara,Don't Forget,78,1355629
"BEMANI Sound Team ""DJ TOTTO"" feat. rionos",Simurgh no Mezame,190,1557105
Mixed By Raastad,Knullesangen,141.19,7705
toby fox,Start Menu,90.08,434096
Black Eyed Peas,My Humps,124,4050
DystopiaGround,A Sword From Dirac Sea,145,19329
Little Non,"1, 2, 3 Day (TV Size)",160,15019
Wakeshima Kanon,fragment ornament,190,1124057
halca,Romantic Manifest,124,1969705
Green Day,Basket Case,153,1142364
Yasunori Nishiki,Decisive Battle II,164,1680213
Iguchi Yuka,JOURNEY,171,1715988
nao,Kirihirake! Roleplay*Star Girl,170,160691
Suzumu feat. GUMI,Sakurairo Time Capsule,170,1195834
The Qemists,Dem Na Like Me (feat. Wiley),194,47923
Fox Stevenson,Glue Gun,172,799729
SawanoHiroyuki[nZk]:ReoNa,time,95,1360909
REDALiCE feat. Ayumi Nomiya,Little Star (Full ver.),183,1567641
Never Shout Never,Can't Stand It,126,111674
Kurosaki Maon,Rakuen no Tsubasa,155,227041
ZUN,Necrofantasia,164,15812
Apocalyptica,Last Hope,170,199452
fripSide,future gazer (TV Size),138,22041
Seraph,"for Black, Dear Dahlia",170,1649891
Haru,Broken Moon (Instrumental),101,7125
Michael Buble,Everything,123.05,334108
sanah,Szampan (Cut Ver.),130,1356492
Hatsune Miku,Dear,135,31100
Kagemori Michiru (CV: Morohoshi Sumire),Ready to (TV Size),147,1317288
Chiaki Kuriyama,Ryuusei no Namida (Movie Version),140,28731
ClariS,Nemuri Hime,142,330377
Silvertide,Devil's Daughter,120.95,2467
Ne Obliviscaris,And Plague Flowers The Kaleidoscope,210,1208673
Dragon Guardian,Tsuioku no Kuroki Makenshi,190,1846448
Pratanallis feat. KOKOMI,Black Berserker,195,2091014
Mutsuhiko Izumi,Green Green Dance (Long Version),165,34896
Maduk,Liquicity Yearmix 2015,175.5,429411
ShinRa-Bansho,I,196,1927992
Falcom Sound Team jdk feat. Sasaka Megumi,NO END NO WORLD,186,1282091
ginkiha,Paved Garden,187,1131098
KOTOKO,Presto,118,142433
Jin ft. MARiA from GARNiDELiA,daze (TV Size),198,172159
Mitsukiyo,Aoharu Band Arrange,100,1957516
Imy feat. Aitsuki Nakuru,Lateral Arc,176,2021026
Three Days Grace,No More,99,392801
Ogura Yui,Honey Come!! (TV Size),184,2186335
Perfume,NIGHT FLIGHT,145,861719
Minato Aqua,Kaisou Ressha,164,1545061
onoken,Felys,180,14769
mona (CV: Natsukawa Shiina),No.1,144,1090518
Crawk,Cercis,192,2193430
Street vs Sin:cK,Adamantite,175,524538
Ailee,I Will Show You,130,85732
LiSA,Gurenge (TV Size),135,1154567
Shinji Miyazaki,Gym Leader Battle,169.9,4305
Asaka,Wayawayawa-! (TV Size),134,2156286
Ezoshika Gourmet Club,Beautiful Dreamer (TV Size),155,1755092
THE BEAT GARDEN,Walk This Way,174,1910531
Hekiyou Gakuen Seitokai,Treasure (TV Size),163,16747
NO NAME,Kibou ni Tsuite (TV Size),158,52624
Nanjo Yoshino,Tasogare no Starlight (TV Size),152,1993718
Ricky Montgomery,Line Without a Hook,190,1286918
Atoguru,Mr.Liar,100,32889
mimimemeMIMI,Shiroi Tori,74,707085
Diao ye zong,Lost,140,646667
Poppy,Aristocrat,94,2107005
Pastel*Palettes,Luminous Once More,169,1884593
R3 Music Box,Brand New Day,88,637394
Haru,Withered Leaf (Instrumental),107,7308
Kugimiya Rie,Kiss Shite Agenai (TV Size),176,43197
GOING UNDER GROUND,LISTEN TO THE STEREO!! (TV Size),181.89,14610
Hanatan,Tropical Summer,153,43570
Chata,Present,163,840161
Lia,Toki wo Kizamu Uta (Trance Arrange),139,18565
Tamura Naomi,Yuzurenai Negai (TV Size),133,1107156
Jinjin,pi,65.43,549354
Takeharu Ishimoto,Battle Theme 1 - arrange - from FINAL FANTASY II,150,56309
TOMOSUKE x Jazzin'park,LANA - Kiroku no Kakera -,168,1021387
Yuka Tsujiyoko,Shy Guy's Toybox,124.9,9668
Lady GaGa ft. Beyonce,Telephone,122,11395
SEVENTEEN,VERY NICE,122,618500
goreshit,semantic compositions on death and its meaning,171,2074965
Demetori,"Koyoi wa Hyouitsu na Egoist ~ Ego, Schizoid, Beat.",180,829940
Tatsh,24th Century BOY,168,42997
THE ORAL CIGARETTES,Fantasy,119.5,1181712
Yuyoyuppe,Bad Apple!!,130.01,299000
Haywyre,Everchanging,170,461903
Aoyama Misao,Kimi no WIND SONG,134,48596
Ueda Reina,Literature,118,1277224
Yorushika,Semi-Transparent Boy,195,1638057
Minami,Kawaki wo Ameku (TV Size),129,924551
Street,Hestia,190,1707295
Sta,Shadows in the Light,185.41,504690
glaive,1984,135,1574914
sana,"Sayonara, Teddy bear",180,2191905
Okui Masami,Good-bye crisis,178,1479700
OxT,UNION (TV Size),178,1991774
Within Temptation,Stairway To The Skies,81,228252
FictionJunction,"Toki no Mukou, Maboroshi no Sora (TV Size)",156,1593060
NIKI,Every Summertime,79,1675217
Ayane,Drive On Dragoon,140,20400
"Mimi (CV: Hidaka Rina), Misogi (CV: Morohoshi Sumire), Kyouka (CV: Ogura Yui)",Little Adventure,148,974356
Ceui,Asphodelus (Short Ver.),160,1997340
Qlover from kyoukaimetro,"""dis""sonance feat. Itsuka (CV: Akina), Kanata (CV: Wakabayashi)",200,2163760
subplaid,Jeg onskerikke a skade deg,175,244640
KOTOKO and Utatsuki Kaori,Crash Course -Koi no Tokubetsu LESSON-,170,3518
SxOxU,Funny Sunny Day (TV Size),180,10003
Miley Cyrus,Party in the U.S.A.,96,34336
S.S.H.,Intersect Thunderbolt,250,43027
Taylor Swift,Wildest Dreams,140,1146408
TUYU,Dorei Janai nara Nan Desu ka?,117,1519920
Jibaku Shounen Band,No.7,190,1413965
m.o.v.e,Rage your dream (INITIAL D mix),120,17330
"Igor' Sklyar, Atomic Heart",Komarovo (DVRST Phonk Remix),115,1951236
Horie Yui,Golden Time,141,121048
YUI,again,140,625048
Luude & Mattafix,Big City Life,174,1904442
eill,Koko de Iki o Shite (TV Size),107,1493915
Power Of Nature,Shounen wa Sora o Tadoru,140,685643
GALNERYUS,DESTINY,184,1541596
Emiru no Aishita Tsukiyo ni Dai San Gensou Kyoku wo,Gengaku Opera House,183,1347917
ZAQ,ASEED,202,1786219
xi,Happy End of the World,95,409681
CHiCO with HoneyWorks,Historia,184,453678
Pet na Kanojotachi,Kimi ga Yume o Tsuretekita,135,2163516
Roselia,Determination Symphony,190,1755255
Tianshi,Melancholic,140,27133
senya,Opposite World,121,552002
BiBi,Fuyu ga Kureta Yokan,98,366058
Jeremih,Birthday Sex (Uptempo Mix),129.01,12294
DJ YOSHITAKA,Evans,185,1023491
Taylor Swift,august,180,1506415
KISIDA KYODAN & THE AKEBOSI ROCKETS,secret philosophy (Cut Ver.),200,1285290
Kitamura Eri,Happy Girl,145,49759
Harada Hitomi,Haruiro (Short Ver.),186,29652
The Lonely Island,Jizz In My Pants,122,10001
Lon,Nijigen Dream Fever,180,94744
Marina & The Diamonds,Oh No!,127,20557
KOTOKO,Shooting Star (TV Size),125,1781152
Feryquitous feat. Aitsuki Nakuru,Ether,200,1341385
YURiCa/Hanatan,Romeo to Cinderella,170,172792
Rita,Egao no tori michi -Cover Ver.-,126,21093
Sara,I'm so happy,120,19759
Aqours,Yume Kataru yori Yume Utaou (TV Size),159,1519952
KOTOKO,Chercher,130,11410
Duca,Ironna Katachi (Short Ver.),117,62532
69 de 74,Holy Wind,179,912972
Hanatan,Shiwa,185,1253711
Joon,by my side (feat. bixby),155,2060660
Yamazaki Moe,Kataomoi no Melody o (Short Ver.),192,2075192
LEFT BOY,DANGEROUS,110,452693
Keina Suda,You and Me,200,2238852
Islet feat. Isui,Hakujitsumu,144,1913515
Poppin'Party,Blue Bird,152,1570188
Camellia,crystallized,174,2235787
HUNCHO JACK,Go,135,2216372
shikiura sougo,Laundry,187.5,2031834
BLACKPINK,Hard to Love,105,1867075
Good Kid,Mimi's Delivery Service,205,1962744
Chata,D Senjou no Koi no Uta,168,61414
Hikasa Yoko,Utsukushiki Zankoku na Sekai,85,97488
Ice vs. Morimori Atsushi,RE:UNION -Duo Blade Against-,202,825993
2:su,Nodo ni Yoi Ocha o Nonda ato no Toki no Uta RMX,128,600537
Shimomura Yoko,Saranaru Otenami Haiken!,198.85,1052734
Lolita,ORIYENTATSIYA SEVER,131,2001204
Marina and The Diamonds,Primadonna,128,88981
Dormir,Cookie Bouquets,205,675125
Kanon Wakeshima,still doll,118,318810
The Flashbulb,Mellann,105,977276
Anamanaguchi,Rock Club,200,20801
Kairiki bear feat. Hatsune Miku,Shippaisaku Shoujo,240,1869533
Mr.Kitty,Holy Death,120,414363
Choucho,Authentic symphony (TV Size),175,40023
Rin,Mythic set ~ Heart-Stirring Urban Legends,128,729705
King Gnu,Sanmon Shousetsu,88,2144704
"Houkiboshi Hikari (CV: Moka Choko), Amanogawa Saya (CV: Yukina Meguri)",Summer Triangle,166,1509332
SawanoHiroyuki[nZk]:Laco,Hands Up to the Sky (TV Size),98,1891734
capitaro,Yoiduki Maiuta,170,70057
Asaka,I believe what you said,138,1294563
U,little my star,177,20312
DJ Splash,Bass Is Kicking (Wackez Vs Clubbiz Akustic Gone Bad Remix),150.21,19866
Satou Shizuku,Hyakka Ryouran Phantasm Aoi-chan ReMIX,160,1769793
Thaehan,Insert Coin,178,2121687
Ayane,Itsumo Kono Basho de (Salktwod Remix),110,240459
Porter Robinson,Everything Goes On,157,1814998
Junichi Shimizu,Bloom of Youth,67,294319
Kan R. Gao,Once Upon a Memory,69.95,186457
nao,Pastel Chime (Short Ver.),180,25379
STYLE FIVE,FUTURE FISH (TV Size),163,506043
Dunderpatrullen (feat Wiklund),Taekwondo Princess,160,5340
nomico,Natsukoi Escalation,165,107766
Hyadain,Quick,170,4106
Luschka,unravel,135,731933
Kiminone,Laid-Back Journey (TV Size),122,2186078
Yasuda Rei,Mirror -TV edit-,127,215167
Dennis Martin,Royal Castle,110,27415
Infected Mushroom,Sa'eed,145,59972
SHK,Identity Part III,150,3971
Mili,Utopiosphere -Platonism-,176,928652
Zips,Mushikui Psychedelism,210,1055498
Capcom Sound Team,Cannon Ball,149.3,99523
Masami Mitsuoka,last cross (TV Size),146,28648
TRUE,Sincerely,72,1317603
The Winking Owl,Let Go,83,1302335
onoken,Night Drawmers,164,2020154
FELT,Little Nova,143,344776
Heartsdales feat. SOUL'd OUT,Candy Pop,105,4900
Tristam,Burn,87,1390338
The Cure,Friday I'm in Love,136,28898
Denkare,Mizu no Miyako no Patisserie (Short Ver.),176,46224
Girls Dead Monster,Little Braver (Full ver),128,16190
KMNZ LIZ,White Happy,160,1438024
Radiohead,Jigsaw Falling Into Place,165.5,1982680
Lia,"My Soul, Your Beats!",145,16272
t+pazolite,Heartache Debug feat. Nene Akagawa,180,1833716
Ling Yuan yousa,Gou Zhi Qi Shi,170,2115633
Hana to Onyx,Ariadne,248,665886
Unknown Artist,Main Thema,112.7,1203189
Quazar,Hybrid Song,130,19683
"Zedd, Grey",Adrenaline,128,2008013
KEMOMIMI EDM SQUAD,DUBSTEP,240,2072490
Owl City,Dementia (feat. Mark Hoppus),127,86848
Christopher Larkin,Hornet,145,948021
Rica Matsumoto,Mezase Pokemon Master -20th Anniversary-,120,649647
toby fox & RichaadEB,Megalovania Dual Mix,240,763337
Ado,Odo (Bon-Odo Remix),148,1588063
Yuuhei Satellite,Utage,75,246183
Infinite Stratos Cast,SUPER STREAM,180,27697
onoken feat. Natsukawa Yoko,Sakimori Souka,168,1368487
Coldplay,Viva la Vida,138,1659753
Tinashe,Throw A Fit,150,1398260
Nobuo Uematsu,Not Alone,140,29813
Ceui,Centifolia,104,475642
Hinatabi Bitter Sweets & Coconatsu,Chocolate Smile,196,1091000
Yu-Peng Chen @HOYO-MiX,"Let's Go, Crimson Knight!",135,1368018
Y.K.sound,Tsubasa wo Kudasai (K-ON! ver.),91,8958
D.O. (EXO),Crying out,74,677551
BAND-MAID,Different (TV Size),210,1314565
Mili,Mortal With You -Japanese ver.-,92,1802462
Dave Days,Fireflies (Ikea),190,13113
La Oreja De Van Gogh,Pop,133.6,1337089
Florence + The Machine,Howl,130.01,15915
Wagakki Band,Tengaku,232,336414
Tokyo.MeltiMelt,the Beautiful Cure feat. nayuta,219,1574009
ZUN,G Free,160,1884924
Enter Shikari,Radiate,195,967719
Masayoshi Minoshima,Alice Maestera feat. nomico,140,1237057
B-Complex,Acid Trip,174,1339332
Fuki,Kuruizake Setsugetsuka,200,1559404
dBu,Fairy Wars Symphony,159,40523
Denji Sano,Taiko Time,170,24320
Kuroneko Dungeon,Ryoushi no Umi no Lindwurm,280,372850
Sakai Mikio,Identity (TV Size),248,1858779
ChouCho,Kuusou Triangle,135,470971
Demetori,Youyoumu ~ The Woman Who Sold the Moon,185,1052077
earthmind,ARCADIA,177,1843668
Zips,Heisei Cataclysm,220,72217
PPP,Watashitachi no Story,165,1776731
SawanoHiroyuki[nZk]:Tielle & Gemie,sh0ut,106,2010775
P4koo (NONE),Sogaikan Utopia,174,1417793
Star Driver,5 Centimeters Per Second,150,362335
TRUE,Soundscape (TV Size),186,745415
Okura Asuka,Prime number ~Kimi to Deaeru Hi~ (TV Size),138,1333833
tephe,Genjitsu Escape,180,1997470
marble,Mebae Drive (TV Size),142,65138
SawanoHiroyuki[nZk]:Tielle,Amazing Trees -extended ver.-,92,787421
Ensou,Event Horizon,187.5,2052791
Karen,Vampire,175,11182
ParaDoX,Alcatraz,125,12842
ZUN,Dark Side of Fate,168,16223
RYTHEM,Houki Gumo,122,9548
Hanatan,Nijigen Dream Fever,180,98042
SHIKI,Pure Ruby,178,15709
Cororo,fairy ring,192,1110174
Kagamine Rin,Abstract Nonsense,208,39580
sana,babyhalo,95,1639207
Annabel,Small Worldrop (TV Size),138,100846
nakigoto,Metropolitan,166,1961314
TAG,Theory of Eternity,160,35224
Crash-TM,Untan Goose,200,221414
Liella!,Mirai no Oto ga Kikoeru (TV Size),84,1890214
mafumafu,berserk,194,1191038
Memme,Unison System,155,937606
NEGOTO,Synchromanica,148,673290
ZUN,Lunatic Red Eyes ~ Invisible Full Moon,158.05,8830
Yanaginagi,Flightless Witch (Short ver.),172,34229
TrySail,Hanarenai Kyori (TV Size),244,1736987
Takaki Moriya,Ciao carina,130,876588
Yu-Peng Chen @HOYO-MiX,Qilin's Prance,154,1365911
Official HIGE DANdism,White Noise (TV Size),143,1974209
Chata & Shimotsuki Haruka,Isshun no Qualia,95,1126767
ZUN,Nostalgic Blood of the East ~ Old World,150,4558
Shimotsuki Haruka,Inochi no Tomoshikata,83,698922
Nekomata Master,Following Flow,175,511699
Aimer,Akane Sasu,74,542545
DJ Raisei,T.R.A.P.,203,2002366
8#Prince,fake doll,132,68036
FELT,The Sun and Moon,86,1036438
Frost Fragment,Ha no Gotoku,158,2030733
Innocent Key,Shukudai ga Owaranai!,180,12245
ChouCho,Natsu no Hi to Kimi no Koe (TV size ver.),107,195103
sakuraburst,GLASS RIVER,126,1061218
Itou Kanako,The Moon is Not Alone (Short Ver.),163,44187
BoA,MASAYUME CHASING,129,325073
Luce Twinkle Wink*,I'mpossible?,145,1464341
Emarosa,Cautious,90,948210
Silver Forest,Blade of Banishment,148,22221
ave;new feat. Sakura Saori,Graceful Anomaly,164,102084
Team.Nekokan[Neko] feat. Amaoto Junca,Kokoro no Kara (TV Size),87,885658
Yasuda Rei,Sunny,170,1979769
Becky,Less Than Three (Radio Mix),160,6133
PinocchioP,"Nice To Meet You, Mr. Earthling feat. Hatsune Miku",175,2125962
Uesaka Sumire,POP TEAM EPIC (TV Size),142,723656
Arctic Monkeys,I Bet You Look Good on the Dancefloor,206.35,39217
Pixel,Moonsong,124.97,16568
System Of A Down,Deer Dance,162.87,2061085
NateWantsToBattle,Sign,178,1595103
Monkey Majik,Sunshine (TV Size),99.86,88620
Pierce The Veil,May These Noises Startle You In Your Sleep Tonight,130,175173
OKAMOTO'S,HEADHUNT (TV Size),160,1031543
Gekidan Hitotose,Curtain Call!!!!!,205,633693
Sumire Uesaka,POP TEAM EPIC,142,719434
himmel feat. YooSanHyakurei,Maple Wind,135,926096
DJ TOTTO feat. *spiLa*,illumina,187,1295864
Shigi,Kagayaita (TV Size),170,1054053
Crazy Loop,Joanna Shut Up!,134,4176
Kagura Mea,phony,170,1746401
Seven Billion Dots,Stay With Me (TV Size),135,1055103
Zirkus Zirkus,17 & Smoorverliefd,165,10719
"Tanisyo Masako, Touma Meimu, Deguchi Ayumi, Inagaki Tomomi",GLORY,170,1268781
Darren Korb,Sandbox,114,422518
Perfume,wonder2,127.62,9547
Red Pulse,Go Hell,145,8736
Poppin'Party,Tokimeki Experience! (TV Size),180,950939
IVE,ELEVEN,120,1642077
kensuke ushio,lit(var),95,623863
HO-KAGO TEA TIME,Singing!,180,39438
Rihanna ft. Jay-Z,Umbrella,174,9873
Eiko Shimamiya,Naraku no Hana (TV Size),109,11525
tomppabeats,the girl next door,75,552732
Polyphia,ABC feat. Sophia Black,140,1845870
keeno,alternate,82,358685
Yuu Kobayashi,Hanaji(TV Size),116,6037
Yakushimaru Etsuko,Ruru (TV Size),107,1227324
Marisa De Lille,Mi Manana,161.01,71438
Liz Triangle,Messiah,167,1104025
Shounen Radio,neu,199,2155577
Xanthochroid,Of Gods Bereft of Grace,110,961206
Dimrain47,Operation: Evolution,165,938921
Hail The Sun,Rolling Out the Red Carpet / Human Target Practice,188,1779800
Demons & Wizards,Crimson King,190,1004920
MY FIRST STORY feat. chelly (EGOIST),"1,000,000 TIMES",200,1208452
Rise Against,Making Christmas,164,247165
Trivium,Down From The Sky,160,702020
Xanthochroid,Of Gods Bereft of Grace,110,2178401
Chino (CV: Inori Minase),Mirai Puzzle,160,1547564
zts,iconoclasm,142,2080690
Celldweller,My Disintegration,184,1069919
-45,Aci-L,162,1783108
Juno Reactor,Guardian Angel,142.86,965524
yanaginagi,Orarion,149,1060676
yanaginagi,Tokohana,169,2127931
Kotone,Kagome,196,2199809
Missing Heart,Moonlight Shadow (Radio Edit),139.99,2179531
yanaginagi,Harumodoki (TV Size),174,2120835
SOUND HOLIC,Requiem For A Nightmare,140,1781824
NieN,Road of Death,180,13305
The Strokes,The Adults Are Talking,165,1869189
DragonForce,Ring of Fire,220,717015
DM Ashura,neoMAX (Full Version),170,3153
Dr. Flowershirts,Duel(O2 Version),150,7202
YO-KING,Tooi Nioi,154,1855918
Alya (CV: Uesaka Sumire),Kawaikute Gomen,162,2227331
Grant Kirkhope,Hailfire Peaks,150.05,5434
Falcom Sound Team J.D.K.,Masquerade of Lies,155,18182
Alfakyun.,Shinu Toki Shineba Ii,230,1693330
Celldweller,Switchback,112,1085105
SMiLE.dk,butterfly (UPSWING MIX),170,1716853
Within Temptation,Paradise (What About Us?) ft. Tarja,135,496174
Ryu* feat. moimoi,OOO,140,712539
Adagaki Aki (CV: Ohashi Ayaka) & Fujinomiya Neko (CV: Mimori Suzuko),Egao de Hadapure!,182,1631428
ZUN,Shiryou no Yozakura,147,2013277
Satyr,Levitator,242,1520317
Larval Stage Planning,Trip -innocent of D-,164,1789427
Toyosaki Aki,Happy!? Sorry!!,179.98,6892
Rigel Theatre,ECLIPSE,146,1738121
dj TAKA with NAOKI,Kakumei,148,11792
Junk,elegante,133,1045019
Tomatsu Haruka & Iguchi Yuka,Kiss(and)Love (TV Size),160,148249
john,Utage,175,1842709
Getty vs. DJ DiA,Ops:Code -Rapture-,195,776328
Omega,MAX 300,300,1173
Aimer,trill,84,1447923
EARPHONES,Arakajime Ushinawareta Bokura no Ballad,198,1016966
toby fox,MEGALOVANIA (Camellia Remix),242,1043265
qfeileadh,breathe,126,1181778
yak_won,Lucid,175,15898
Nico Nico Douga,WAWAWA SPEED mix,170,14952
yoshiki*lisa,Destin Histoire,166,1850759
Shimotsuki Haruka,small star,172,884845
Gesu no Kiwami Otome.,Romance ga Ariamaru,170,856645
MARiA,Pray,217,1731867
Ariabl'eyeS,Kegare Naki Bara Juuji,260,1116349
Snail's House,Biscuit Funk,110,1751172
ONE OK ROCK,Songs Compilation,160,1292126
Porter Robinson,Sad Machine (Lexurus Remix),174,2204949
Kentaro Ishizaka,Waluigi Pinball,152,10728
KAF,Tatoeba,210,1850935
Ayane,Arrival of Tears,200,2108157
wavforme x Annabel,Valiant Flowers,174,1983415
Harito,Geist,200,1015012
Camellia,d:for the DELTA,174,709946
Miyano Mamoru,Orpheus,184.01,316903
DJ YOSHITAKA,MANA,195,136144
Good Game,Latitudes,199,1907943
DJ Sharpnel,StrangeProgram,215,5774
fhana,Comet Lucifer ~The Seed and the Sower~,219,890244
Koharu Meu,Memory,175,1584395
syudou,Kareshi no Jude,165,1563334
TERRA,Hana Ranman ~Flowers~,160,100252
airportexpress feat.Itsuneko,BIRTH,180,175241
Stamper,6 in a Row [MATURE CONTENT],95,933
TKDz2b,Never Say Never (TV Size),128,110943
Centimillimental,Hoshi no Aida,180,1987990
DM Ashura,Neogenesis,151,9825
P4koo,Crystal Illusion,175,797393
96neko & Amatsuki,1 - 2 - 3,184,1861462
AKITO,Sakura Kagetsu,138,32351
MitiS,Living Color (Original Mix),174,1273985
AtoZ,Date Plan A to Z,140,1329335
Chimame-tai,Nakayoshi! Maru! Nakayoshi! (TV Size),248,2113466
Nekomata Master feat. ATSUMI UEDA,Anelis (Long Ver.),180,1386826
Shintani Ryoko,Crossing Days,145,8620
Higuchi Madoka (CV: Tsuchiya Rio),Yumemidori,83,2114341
Chata,Eroiko (Short Ver.),190,52995
fhana,RHAPSODY OF BLUE SKY,135,556757
Cilvery,Kamisama Nejimaki,284,374900
Saratoga (CV: Uesaka Sumire),Souzetsu Gekkou,180,765452
Chata,SKIP,138.01,175655
Dirty Androids,Midnight Lady,128,1176375
Annabel,little voice,148.7,1619033
DJ Swan,Beautiful Angel,172,11383
Kana Nishino,Style (TV Size),113,10885
Hachioji P,Electric Love feat. Hatsune Miku,128,1262099
Minato Aqua,One Room Sugar Life,180,1233277
Boys Like Girls,The Great Escape,150,36290
Albatrosicks,Sunfish runs away,110,3582
Tadokoro Azusa,Little Soldier (TV Size),144,912826
eufonius,Reflectia (Full Ver.),124,12818
Toshimasa,Soshite Kyou mo Koumakan no Tobira wa Hiraku,120,51558
KOTOKO,WING OF ZERO,143,102171
Eagle,S!ck,177,1286316
sajou no hana,Shura ni Otoshite (TV Size),176,2128121
IOSYS,Marisa wa Taihen na Mono wo Nusunde Ikimashita,170,1130291
07th Expansion,Rougoku,140,8555
Silent Siren,Koi Yuki,128,1079241
"BEMANI Sound Team ""Yvya""",Vitrum,146,1581126
Shimotsuki Haruka,Kienai Kakera,196,1116423
ABSOLUTE CASTAWAY,Alrescha no Seizu (Cut Ver.),208,2135285
_yosuke & MOKONA,Sumowind,128,44782
KOTOKO,Kyururun Kiaa de JUMBO,145,4179
FELT,Time and again,177,1992491
Shimotsuki Haruka,a little more,170,816373
765 MILLION ALLSTARS,Yume ni Kakeru Rainbow,136,1799740
753. x ABSOLUTE CASTAWAY,Matsuri Hate no Hana,96,833674
Enter Shikari,Myopia,168,654575
Sound Souler,Absent Color,192,1093465
Weyes Blood,Andromeda,131.27,1891331
Trina Lydia,Stellar Immortality,185,2197796
Nakasu Kasumi (CV: Sagara Mayu),*Wonderland*,160,2124048
Frums,theyaremanycolors,120,1416051
Minase Inori,Pure Frame,179,1375343
CHiCO with HoneyWorks,Hikari Shoumeiron,200,1130285
viko63 & penglord,Wendy,153,1752171
Cascada,Evacuate The Dancefloor,127,10080
lapix,Carry Me Away,175,662208
Kitajoh Atsushi,"specialist (""NEVER MORE"" P4D-EDIT ver.)",128,1305930
ARForest,Hemisphere,193,1253551
Peak A Soul+,Hisohiso,110,2060600
KOKIA,Tatta Hitotsu no Omoi,126,80639
Terashima Takuma,Nameless Story,195,1036720
20th Century,INNOCENCE,134,462240
Morohoshi Sumire,Tsumujikaze (TV Size),149,1157141
Es,Shoujo Rei,150,1992524
Junichi Masuda,Olivine City/Violet City (PokeRemixStudio Remix),117,43948
Ray,km/h (TV Size),185,1130722
Hamu,Lemrina,170,1799400
P4koo,SKY HIGH (feat. rerone),138,1254502
Hirano Aya,Uchuu Tetsujin Kyodain,142.98,2290
m-flo loves CHEMISTRY,Astrosexy,120,1536341
Idoling!!!,Don't think. Feel !!! (TV Size),151,2154540
ziki_7,U.N. Owen wa Kanojo Nanoka?,135,1796943
Cleo,Wole Byc,118,782295
LeaF,Arianrhod,160,1163990
Street,Reincarnation,120,1239248
Marika Kohno,"Yume Mitai, demo Yume Janai",165,1929219
FRIENDZONE / MAYBE BABY,ASKORBINKA,153,1034093
Marmalade butcher,Amanita,194,1473778
Cocoa (CV: Sakura Ayane),Smile Maker,173,1504744
TRIPLE H,ROCK OVER JAPAN,178,613072
Pixelbee,Aru Hi no Koto,204,760621
Trial & Error,DREAMING COLOR (Short ver.),176,752435
Isekaijoucho,Replica (Live Ver.),120,2095125
Demetori,Innocent Treasures,189,15393
The Microphones,"The Glow, Pt. 2",96,1915048
NJK Record feat. 3L,Last Dance Again,160,1594022
scop,Keppekishou,190,70115
Suga Shikao,Hajimari no Hi (TV Size),127,17510
