art,t,bpm,s
Darren Korb,"Setting Sail, Coming Home",120,108461
Momokurotei Ichimon,Nippon Egao Hyakkei,160,584520
Sim Gretina,Apples To The Core (Remix),126,143823
CHiCO with HoneyWorks,Kessen Spirit,188,1118112
SawanoHiroyuki[nZk]:mizuki,&Z (TV size),158,264147
Rammstein,Los,124,235551
LVTHER,Some Kind Of Magic (Feat. MYZICA),168,751751
Paramore,Still Into You,136,301830
Poppin'Party,KIZUNA MUSIC,189,1425749
GRANRODEO,Can Do (TV Size),200,493273
Aoi Eir,INNOCENCE (TV Size),183,61447
Tsubaki,Kyun Kyun Tamaran Inaba-tan.,180,98711
Tsubaki,Kyun Kyun Tamaran Inaba tan!,180,35219
Getter Jaani,Rockefeller Street (Nightcore Mix),162.5,942866
dark cat,BUBBLE TEA (feat. juu & cinders),160,769917
Wakeshima Kanon,Tsukinami,180,896080
Komiya Mao,(can you) understand me?,185,455482
Silent Siren,Soukai Rock,200,437797
CHiCO with HoneyWorks,Minikui Ikimono (TV Size),195,1369259
EVO+,[A]ddiction,164,378803
ONE OK ROCK,Take me to the top,196,790895
Telekinesis,The Monk,174,381529
Pegboard Nerds,Try This,87,301138
"Post Malone, Swae Lee",Sunflower,90,1114768
Nakanoke no Itsutsugo,Gotoubun no Kimochi (TV Size),175,901880
Yura Hatsuki,Yuki no Hana,142,437097
Lia,Bravely You (TV Size),150,338293
supercell,Kimi no Shiranai Monogatari -TV Edit-,165,627110
nano,Bull's eye,197,356357
Herve Lavandier,Shuriken School (TV Size),160,1114339
Mikakuning!,Tomadoi Recipe (TV Size),170,152249
Kano,Prima Stella,180,1282660
Station Earth,Cold Green Eyes ft. Roos Denayer,174,716719
senya,Ondosa,147,420265
Syoko Hoshi (CV: Satsumi Matsuda),Zettai Tokken Shuchou Shimasu! Hoshi Syoko Solo Remix,200,546878
ClariS,SHIORI vs. Hitorigoto,176,707380
Dark PHOENiX,Taketori Hishou,192,22276
Kero Kero Bonito,Flamingo (WTN3 Remix),110,409214
EGOIST,"Ame, Kimi o Tsurete",184,346301
SawanoHiroyuki[nZk]:mizuki,&Z (TV size-English ver.-),158,259907
yuikonnu & ayaponzu*,Super Nuko World,190,153776
Oku Hanako,Kimi no Hana (TV size),154,557856
egor nats,ya zhenyus' na devochke iz anime,159.88,947717
dj TAKA,quaver,182,423527
Hoshikawa Sara,Vampire,164,1457867
THE ORAL CIGARETTES,ReI,186,785858
Ayase Rie feat. Hata-tan,Yuima-ru*World TVver.,180,726747
TRUE,Soundscape,186,534054
Co shu Nie,asphyxia (TV edit),165,758101
Harada Hitomi,Kyoumei No True Force,187.5,196028
Kozato,45nen no Yukizakura,170,50771
Kano,Dear Brave,188,1293358
LiSA,confidence driver (Cut Ver.),190,1228487
The Cab,Angel With A Shotgun (Sped Up Ver.),142.56,1174505
Ke$ha,Backstabber (Sped Up & Cut Ver.),176,1217044
Station Earth,Cold Green Eyes feat. Roos Denayer,174,1101976
ULTRA TOWER,Kibou no Uta (TV Size),177,446418
THEATRE BROOK,Uragiri no Yuuyake -TV Size Long Ver.-,151,949071
"Fear, and Loathing in Las Vegas",Let Me Hear,184,260405
senya,Songs Compilation,138,119891
otetsu,"Minamo no Sakura, Yume wa Sakayume",200,385248
An,artcore JINJA,190,114987
Ayumi.,Hanagoyomi short version,180,323773
Vanic,Samurai (Spirix Remix),150,592509
KOTOKO,Koi Kou Enishi,144,2166472
Kano,Stella-rium (Asterisk MAKINA Remix),177,1456709
Farhan feat. GUMI,Dandelion,169,1180255
Roses Epicurean,Yoru no Kodomo tachi,115,503216
Masato Nakamura,Eggman's Theme,133,71061
ttbt,Makkuro Flandre S Shuuseiban,200,113458
Tomato n' Pine,Nanairo*Namida -TV Edit-,127,305452
Okazaki Taiiku,Kimi no Bouken (TV Size),200,884581
Sleeping With Sirens,If You Can't Hang,192,409025
"Post Malone, Swae Lee",Sunflower,90,895391
