m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,ar,accuracy,cs,drain
0,1702172,913.26,350.5,1843,NiVo's Extra,807850,84,6.37573,430911,69809,426869,9.4,9.3,4,6
0,915210,910.6,632.29,102,Crescendo,423527,203,7.36206,203921,87346,409841,9.6,9,4,5
0,2480902,910.23,283.93,2938,Grasp of the Undying,1190710,84,6.03408,824112,54142,442384,9.6,9.4,3.8,5.5
0,898576,907.14,314.32,2377,Kyshiro's Extra,326920,135,6.13361,463454,84566,412160,9.5,9,4,7
0,574471,902.8,156.25,5745,Insane,249939,246,4.8726,1156720,101121,395560,9,7.5,4,6
0,774965,901.48,296.26,2715,Max Control!,351630,295,5.68253,1621769,91090,405820,9.2,9,4,6.5
0,1092090,896.83,194.68,6253,Extra: Mitsuha,513590,106,5.25251,1324305,85504,411195,9.4,8.7,4,6
0,790048,896.52,490.22,496,Skystar's Tragic Love Extra,219380,217,7.08835,214575,95409,401359,9.8,9.5,4,5
72,764517,890.4,148.76,6470,Unbreakable,346339,42,3.42482,1464393,96138,400533,8,7,4,6
0,638493,875.09,186.94,6011,Expert,282345,88,5.34021,1392453,100069,396601,9.2,8,4,6
0,2397136,874.63,238.88,3666,Extra,1148073,100,5.75993,400419,53465,443206,9.3,9.1,3.8,5.9
0,540798,874.51,111.34,6592,Sins,232935,88,4.77593,788180,102131,394539,9,7.7,4,7
0,2102287,874.2,211.74,4643,Guinea Pig Technology,1004468,37,5.58266,1141542,62005,434558,9.2,9.1,3.8,6.2
0,1262832,872.78,163.29,6322,Soliloquy,596704,86,4.97719,2274307,81947,414726,9,8.5,4,6
72,974142,869.87,353.81,1843,Momoka's Insane,451250,175,4.45953,515214,89198,407472,8.2,7,4,6.5
0,5438072,869.24,188.86,6011,Do You Know?,2479183,31,5.4839,276434,5343,491356,9.2,9,3.6,5.2
0,2222887,866.29,96.15,9236,Insane,1061287,31,4.45384,2230758,58766,437761,9,7.7,4,5
0,2755127,866.18,146.42,6470,Beast,1328989,86,4.91149,820023,47847,448830,9.2,8.5,4.5,5.6
64,1153219,865.94,244.81,3584,Haru's Insane,542081,42,4.16919,784641,79246,417424,8,8.2,3.7,5.5
64,5150129,862.07,309.12,2183,Desire,2382142,68,4.55203,244362,8082,488596,8.6,8.5,3.8,4.8
0,871154,853.75,118.51,7133,Deep,399061,35,4.60811,767946,91866,404814,9,8,5,6
0,2336704,853.6,257.15,3516,One More Time!,1034008,96,5.80391,586575,56152,440548,9.4,9.2,3.8,5.5
0,3217116,841.9,167.52,7000,Wasted,1575739,108,4.87031,759143,43197,453480,9,8.8,4,5
0,1620144,841.14,206.48,5155,Bonsai's BasS-TYPE,757146,38,5.42093,980514,72927,424028,9,9,6.2,6
72,2347578,835.58,263.61,3972,browiec's Expert,1123162,79,4.08587,1311087,53057,443887,8.5,8.2,3.6,5
0,2201876,835.14,168.45,7000,Extra,1053509,87,5.26202,1070865,59774,436897,9.2,8.5,3.6,5
0,2245768,832.64,205.1,5155,Akitoshi's Extreme,1073074,31,5.78177,557343,58553,438118,9.3,9,3.8,6
0,1618411,827.8,102.67,6670,Light Insane,765778,38,4.61016,2593755,72840,423748,8.8,7.8,3.8,5
8,1570203,819.03,348.92,1974,Determination,744772,86,6.27703,730107,64171,432500,9.3,9.5,4,6
0,676193,811.21,177.92,6011,First Love,301561,213,5.02568,210244,94647,402065,9,8.2,4.1,6.5
0,884664,808.43,403.09,1081,Illusion,407175,212,6.53081,191428,89693,406981,9.3,9,4,6.5
