art,t,bpm,s
Tomatsu Haruka,courage,196,244476
moo,anim3,175,1199839
Bella Poarch,Build a Bitch,103,1499531
Tristam,Children in the Dark,100,1375519
Triodust,Rabi Rabi Park,105,533194
NANA,sail to a new world (game ver.),163,816928
Buddah Bar,Mambo Craze,129.54,27
Azuna Riko,Kimi ni Furete (TV Size),90,860802
Tu Tu Wan,Wo Yao Jin Ke La,147.1,1726857
ChouCho,telescope,134,269835
3R2,Duality,160,1276410
Sephid,Cross-D Skyline,180,2145826
Dark PHOENiX,Taketori Hishou,192,1893810
Massive Attack,Teardrop,76.79,65276
Mario Kart 8 Deluxe Booster Course Pass Sound Team,Yoshi's Island Result Screen,160,1971772
YABUJIN,.*302? ionwan2go*.,159.94,1790824
Shoji Meguro,Pursuing My True Self,119,1934009
SawanoHiroyuki[nZk]:mizuki,Avid (TV Size),78,1704980
Omega,MAX 300,150.05,1917268
Saeko Chiba,Twinkle*Star (TV Size),159,724545
Beverly,Endless Harmony feat. LOREN (TV Size),84,927878
cygnus,STRIKER+,150,1966073
Hudson Soft,Black Fortress,153.1,6941
GReeeeN,Unity,167,7961
Rita,Signal Heart,181,46754
"Uesaka Sumire, Takahashi Rie, Minase Inori, Hayami Saori",Ponkotsu! Isekai Theater (TV Size),165,1109197
TERRA,DoLL,170,11478
Ax feat.Natsukawa Yoko,Sakimori Renka (Long Version),170,477999
WEAVER,Kuchizuke Diamond,164,1103117
Sawai Miku,Colorful.,153,431917
Tatsumi Megumi feat. Sano Hiroaki,Itazura na Tenshi to * Christmas Eve,182,2084849
Argonavis,Hoshi ga Hajimaru (TV Size),182,1662608
Masayoshi Minoshima feat. Aki Misawa,Shinto Shrine,80,1996323
Funatsu Yota (CV: Furukawa Makoto) & Sano Tsubaki (CV: Matsuoka Yoshitsugu),Lost Fairy World,185,2115836
Serani Poji,where is smiley?,170,1963051
Yasunori Nishiki,Aim for the Top,158,2040215
Various Artists,Oogesa ni Ai to Yobun da,128,2147375
A.SAKA,KAGUTSUCHI,178,2091775
M2U,Sandglass,120,836286
Melone (Ryoko Shintani),Kira Kira Serenade,76,62957
Tsumugi Wenders (CV: Iwai Emiri),Golden Hours,220,1378712
Unknown Artist,Spelunker,151,726743
la la larks,Massive Passive,183,1092295
solfa feat. Misato Aki,Happy Beat!,126,1169943
Tadokoro Azusa,RESOLVE,195,2154215
Osaka Shizuku (CV: Maeda Kaori),Anata no Risou no Heroine,89,1944025
senya,MERMAiD,150,1550119
movies (moimoi x Xceon x Dai.),Too Late Snow,138,919226
In Flames,Take This Life,240,709296
Sasaki Sayaka,Unravel Sky,196,2187360
ALEX TERRIBLE,Last Christmas,106.75,1323906
HUMBREADERS,COLORS (TV Size),194,1707303
zts,discolor,160,1635918
Ama no Murakumo no Tsurugi,Close the World feat. a*ru,188,2095486
YURiKA,MIND CONDUCTOR (TV Size),180,1326381
Adust Rain,Imperfect Cherry Blossom,174,2069184
tieff,Waterflow,130,1491275
Tristam,Burn,87,1390338
monet,Kami to Senritsu,160,728291
Chata,con,128,698975
I.O,Lv.0,160,732390
Hosoe Shinji,SON OF SUN,200,5357
Acid Black Cherry,Shoujo no Inori III,187,1325921
Enter Shikari,Radiate,195,967719
Anberlin,Ready Fuels,168.65,851867
Chata,len,173,1029309
YUI,LIFE (TV Size),115,1175059
Raito,Troublesome Visitor,165,82599
Tsukiko,EVERLASTING BLUE (Short Ver.),170,50698
Fall Out Boy,XO,262.42,1739083
Denkishiki Karen Ongaku Shuudan,Natsu no Owari (Soleily Remix),175,665232
Skrillex & Diplo,To U ft AlunaGeorge,160,723626
Glee Cast,Jingle Bell Rock (Glee Cast Version),152,373351
Tokoyami Towa,Palette,163,1425822
Shimotsuki Haruka,Rengoku,172,1692763
Dreamcatcher,Skit : The seven doors,174,1743104
THE PRIMALS,Rise,140,1911102
MiddleIsland,Time for Crown,175,333319
ave;new feat. Sakura Saori,Graceful Anomaly (Short Ver.),164,2177559
IOSYS,Cirno's Perfect Math Class (Nika Lenina Russian Version),175,1990973
Little Boots,No Brakes,110,56514
glaive,life is pain,82.5,1348446
-45,Ena,150,1965466
Houshou Marine with Holoism Fantasy,Hoihoi*Gensou Holoism,195,1202320
Shimotsuki Haruka,Liblume,150,1584913
Suzuki Aina,Motto Takaku (TV Size),136,1518706
lapix,Amazing Mirage (Extended),153,608572
P4koo,Fly High (feat. rerone),142,1564234
Sasaki Sayaka,Yume to Iro de Dekiteiru,167,1795771
Rita,Little Busters! ~TV animation ver.~,151,1942850
yanaginagi,Tobenai Mahoutsukai,172,1334557
Chata,Wild-jiisan,147.15,1631344
CIEL,"Kimi no Nozomi, Kimi no Negai",76,1829037
Co shu Nie,Yume o Kin'iro ni Somete,180,1496416
Hanatan,Orange,90,989467
Ice,02: Amber Wishes,195,801704
kakichoco,Zan'ei,180,1888928
OK Go,It's a Disaster,201,22128
Tatsh,24th Century BOY,168,42997
jun,SUPER SAMURAI,170,11318
TERRA,REI - ZERO,180,8261
Nishizawa Ayumu (CV: Takahashi Mikako),Kimi Fan,177,27014
Enya,Caribbean Blue,157.63,109446
Arash,Temptation (feat. Rebecca),108,2129628
Scatman John,Scatman,136.02,18
senya,Kowareta Unmei o Tsumuide,162,935811
Bring Me The Horizon,AmEN! feat. Lil Uzi Vert & Daryl Palumbo of Glassjaw,210,2085178
Kawada Mami,Prophecy (TV Size),119,10938
Jinjin,pi,65.43,2224590
Ogura Yui,Sing-a-ling-a-Harmony,132.6,299769
Yumeno Yuki,Futatsu no Hikari,101,930028
Nightwish,The Escapist,144,20776
Midix,Parad Smerti,95,2205652
S1RENA,Staub,159.98,2169972
Halozy,S.A.T.O.R.A.R.E,178,594121
Kalafina,Hikari no Senritsu (TV Size),96,53929
Qrispy Joybox feat.mao,Umeyukiyo,167,113686
Culprate,Beast (Vorso Remix),172,1552826
Yonder Voice,Sougetsu no Zangeshi ~ Universal Nemesis,170,2006943
Feint & R7CKY,Lost & Found (feat. Skyelle) (Cut Ver.),174,1770198
IOSYS,Midnight Lightning Bolt,155,16371
fripSide,HesitationSnow,135,513343
OK Go,No Sign of Life,164,19408
Hanyuu Maigo,Onomatopee feat. Riria.,146,1698960
EGOIST,Zettai Zetsumei,140,1490979
IAHN,Summer Vacation (Original Mix),130,1017566
Poppin'Party,Daydream cafe,150,2167862
Street,Sakura Fubuki,175,1202610
Arctic Monkeys,Teddy Picker,150.23,3838
Various Artists,Meditation,82,1250511
The Ting Tings,That's Not My Name,145,5697
TOKINE,Soko ni Aru Mono,174,16789
Rica Matsumoto,OK!,126.1,3340
Fall Out Boy,Headfirst Slide Into Cooperstown On A Bad Bet,120,4780
Akira,Koisuru Fluorite (Short Ver.),154,39444
Kenshi Yonezu,"Sayonara, Mata Itsuka !",122,2173341
ZARD,Unmei no Roulette Mawashite (TV Size),146,1184078
Perfume,NIGHT FLIGHT,145,11122
ZUN,Inada Hime-sama ni Shikarareru kara,161,2173216
Kendrick Lamar,United In Grief,131,1896342
3oh!3,Colorado Sunrise,150,4695
Enako feat. Pmarusama.,Iden Tei Tei Meltdown (TV Size),155,1910726
NIWASHI,Playing with Ruby,180,1306570
Hina (CV: Hirohashi Ryo),Yumeji no Hana,106.5,2155684
Unlimited tone,Utatane Sunshine (TV Size),114,1025708
NieN,Rage Of Demon,196,22229
Buta-Otome,Kage Renbo,85,237116
Okean Elzy,Ne tvoya viyna,91.4,507774
Elfen Lied,Lilium,112,3631
Haruka Shimotsuki,Nijiiro no Kisetsu e short ver.,164,526158
8686m,I Love You From Greenwich,147,2024061
Sasaki Sayaka,Connect,175,2167798
KOTOKO,Koi Kou Enishi,144,2166472
Pierce The Veil,I Don't Care If You're Contagious,166,1863492
Kajiura Yuki,The Dreamers,120,16409
K-taro Takanami,Yasashisa no Shouzou,162,6834
Aqua,My Mamma Said,130.01,28402
Gladenfold,...To Eternity,171,496072
Feryquitous feat. Aitsuki Nakuru,Kairikou,205,832836
THE ORAL CIGARETTES,Fantasy,119.5,1181712
nano.RIPE,Kamisama,86,1159967
Daiichi Uchuu Sokudo,Crystal Dream (TV Size),144,2133738
suis from Yorushika,Yume no Naka e,150,1789187
Yorushika,Amy,125,1488211
Yorushika,Ano Natsu ni Sake,160,1293131
yuiko,petit bonheur,180,938410
P4koo,SHINY*STAR!! (feat. rerone),142,1287121
Tsuzuri,NAME,183,2197839
saji,Hoshi no Orchestra (TV Size),182,1659754
Ayane,Kamisama no Syndrome (TV Size),102,1925014
Kotone,Autonomy,230,1420776
Belfast (CV: Horie Yui),Pro Tanto Quid Retribuamus,210,2114914
ShockOne,Polygon (feat. Reija Lee) (Cut Ver.),175,2121240
Nanahoshi Kangengakudan,Meisou Suru Saraband,185,1103560
Mitsunori Ikeda feat. Aimee B,Fallen Angel (el poco maro Remix),176,710848
seleP,Marie-Luise,130,1730476
Feryquitous Vo. F9,Monochrome Anomaly,155,1436243
ROSIVO feat. Sakaue Nachi,Eternal Dream,140,2042736
Kraken,Do it!! Do it!!,300,521340
Natsume Itsuki,Lev0,190,1546256
SadSvit,Kaseta,170,1756107
ShinRa-Bansho,Paragraph 14,163,1296856
DJ YOSHITAKA,Elisha,185,1907729
Yooh,Ice Angel,168,1590068
monet,Naglfar no Senjou nite,106,1220443
KikuoHana,Desert Theater,240,1382362
Pearl Jam,Even Flow,106,2000939
Higedriver,Samurai Beat (Blast),185.3,2906
TrySail,adrenaline!!!,268,613347
Falcom Sound Team J.D.K.,Determination of Fight,152,15479
DM Ashura feat. Tiger Yamato,R3 (Omega Mix),164.95,5192
Kuba Oms,Beautiful Uncertainty (Redux),128,936450
Mizuki Nana,Soredemo Kimi wo Omoidasu kara,103,17203
Sister MAYO with Final Tai,Love Tropicana Final,144.95,7644
Yellow Zebra,Hana no iro wa ~Flowering Light~,111,14340
Hatsune Miku,Sayounara,134,23419
Hatsune Miku,Momiji,107,6375
Ken Nakagawa,Cyclone,160,17373
Silver Forest,Cross Mind,164,22043
Anenew feat. Sakura Saori,True My Heart (Short Ver.),135,8257
Yamawaki Hiroko,Gin no Ishi Kin no Tsubasa,138,12593
Megumi Kojima,Fruits Candy,150,28915
Rita,Aka no Sora,138,17746
SYNC.ART'S feat. Misato,Rondo of fantasy,148,16689
SYNC.ART'S feat. Sakaue Nachi,Light travel distance,145,16688
SYNC.ART'S feat. Sakaue Nachi,Forever Cherryblossom,140,17628
Kagamine Rin,Amagasa Tojite,120,24369
U,Little My Star,177,7702
KOTOKO,La Clef ~Meikyuu no Kagi~,99,9901
Tenka Tori Tai,Kagerou,143,30599
Sona,Odoriko,94,24799
NAOKI feat. YUKI,BLUE IMPULSE (for EXTREME),145,20865
Hashimoto Miyuki,Eternal Recurrence,135,23026
IOSYS,Utage wa Eien ni,170,4449
Ito Kanako,Hacking to the Gate (TV Size),161,1627313
Ceui,Rainbow Days,170,1181354
Epik High,One,135,6641
TERRA,We Are,140,846
DJ Earworm,United State Of Pop 2007 (The First USPOP),87,2076051
69 de 74,Holy Wind,179,912972
OxT,HIGHEST (TV Size),180,1942325
QUEEN BEE,Mephisto (TV Size),150,1978551
milet,Drown (TV Size),90,1752985
MindaRyn,SURVIVE (TV Size),185,1980796
Nishimori Yusa (CV: Uchida Maaya),Rakuen made (TV Size),152,2032400
Ai Higuchi,Akuma no Ko (TV Size),90,1738293
MGMT,Time to Pretend,101,4063
Shounen Kamikaze,WINDER ~Boku wa Koro no Iru~ (TV Size),158,7079
Silver Forest,Phantasm Brigade,168,11543
ColBreakz & Vizzen,Remember,174,2052201
Tsukasa,Mirage of the Rain,175,1939706
Abydos High School Countermeasure Council,Kagayaki Summer Days,158,1808469
Oshino Ougi (CV: Mizuhashi Kaori),decent black (TV Size),140,767109
Perfume,Twinkle Snow Powdery Snow,132,8237
KOTOKO,BLAZE (TV Size),128,100724
Linkin Park,I'll Be Gone,70,96277
Halozy,Sentimental Skyscraper,183,100348
Duca,Naisho no Honto,150,768075
Solar,RAW,140,1926212
Sanch,Hoshi no Yuuki,148,36302
yuiko,petit bonheur,180,2137235
Ogura Yui,Honey Come!! (TV Size),184,2186335
Nakamura Meiko,Across the Destiny,126,2212698
Fleur,Chelovek 33 cherty,160,1148856
monetochka,Nimfomanka,110,826758
Hatsune Miku,from Y to Y,98,22363
rerulili feat. Dancing Dolls,Kami no Manima ni,135,1182518
7!!,Orange,86,1155375
Phantom Sage,Holystone,110,514942
Xomu & Amidst,Pagoda,120,2053765
Joakim Sandberg,Robin (Blockrock),105.5,729875
RADWIMPS,Amaotoko,123,101577
Judy Huang,Yi Zhi Hen An Jing,110,170677
Chelsy,I will,89,683686
Naomile,LAST CHRISTMAS,123,133252
Ohashi Ayaka,"Please, please!",180,2029963
Neru,How-to World Domination,151,1733366
Kijibato,w/WWW feat. Hoshimiya Toto,166,1312343
seleP,ReLief,120,1379697
e-lma,CaptivAte2 ~kakusei~,175,492877
LhoU,Taylor,184,648127
Fractal,Collide (feat. Danyka Nadeau),143,753365
Rhodanthe*,My Best Friends (TV Size),234,1969728
Oishi Masayoshi,Otomodachi Film (TV Size),158,1729180
Rhodanthe*,Jumping!! (TV Size),175,2096473
Marina Rios,Fukashigi no Karte,96,919348
Nakamura Meiko,Across the Destiny (Cut Ver.),126,2166014
Direct Hit!,Paid in Brains,160,1317146
Mizukara o Enshutsu Suru Otome no Kai,Girlish Lover (TV Size),165,2185408
Perfume,Baby Cruising Love,128,8023
Kawasaki Takaya,Stardust Memory (TV Size),125,2163057
hitorie,On the Frontline (TV Size),194,2166462
PHAZE,Phantom Chain,153,2105111
BlackY,Babylon,156,1737434
Fukunaga Yoru,Utakata no Yoru,109,898030
iconoclasm,perditus paradisus,172,72790
Hatsune Miku,Doki Doki Heart Tune,142,5495
Hard In Tango,This Is My Dj,137,814216
Kotera Kanako,Sora wo Miagete Ending version,94.7,93098
Hatsune Miku,Aka Hinoha,94,5506
Nintendo,Super Mario Bros. (TECHNO remix),209.02,628
Chata,Glitter,170,1625762
69 de 74,RTTR,180,1447300
KOTOKO,Being,148,5815
Zekk,Libertas (Extended Mix),160,1291562
Laufey,From The Start,82,2079819
Momoka Sakurai (CV: Haruka Terui),Ai no Sanka,168,1987125
OxT,grayscale dominator (TV Size),190,2126479
Denkishiki Karen Ongaku Shuudan,Never Forget,80,1187196
King Gnu,Prayer X,87,2123851
BRADIO,Golden Liar,175,1744478
La priere,Atonement Twins,250,2135397
Tatsh Assault X,The Dirty of Loudness,165,1873172
nomico,Hoshizora e Kakaru Hashi,170,1270554
Taku Iwasaki,Minami Tokyo Shiten no Sesta,135,26195
ESTi,OblivioN,141,3566
fripSide,memory of snow,125,26097
dj TAKA,Absolute,144,9394
Another Infinity feat. Mayumi Morinaga,Snow Crystal,128,84015
Power Of Nature,Shounen wa Sora o Tadoru,140,685643
Hatsune Miku,Nann Toiu Koto Desyou,160,9959
Nanri Yuuka,Tsukishirube (TV size),153,25618
Yuuki Aoi,Gyutto Shite Hoshiinda,136,69004
Oshimizu Nako (CV: Toyosaki Aki),Suisei Melody,118,1504648
onoken,Children's Domain,100,69442
*namirin,closing eyes,183,669437
Alice Schach and the Magic Orchestra,Maharajah,120,1094596
Optimus Rhyme,Obey the moderator,103,798
Kobukuro,Kimi to iu na no tsubasa,134.68,668
ArmCannon,Borrow Mega Nuke (Eureka Bong Worm),148,5317
YUI,Rolling Star,161.02,2706
Spire,Somnambulism,240,1171893
Nakagawa Haruna,pile up HURRICANE!,157,31270
Amatsuki,Letters to me,190,1367704
THE PRIMALS,Return to Oblivion,135,1923120
PolyphonicBranch feat. Katakiri Rekka,Angelica,230,1951399
Red,Let It Burn,132,950923
KANKAN x Hiiragi Kirai,All Fool,195,1961624
Gorillaz,"Feel Good, Inc.",138.5,239
Gigi D'Agostino,The Riddle,127,18308
2PM,Hot,126,63750
poiss,nostalgia,169,1494766
koruru528,Santa Claus Is Coming To Town,155,1632058
Blossom,Boomerang,191,7272
ARForest,Regret,210,1241523
THE BINARY,"Hana ni Ame o, Kimi ni Uta o",240,1186593
FANTASTICS from EXILE TRIBE,Girigiri Ride it out (TV Size),120,1863644
Ito Kanako,Fatima,179,1943137
Kareki Kashiwagi,Hetero,202,2067930
Shawn Wasabi,Marble Soda,168,2110888
Amatsuki feat. Three,Makeinu no Revenge (Cut Ver.),175,2182394
Good Kid,Mimi's Delivery Service,205,1962744
Good Kid,First Rate Town,185,2185624
Mitsukasa Ayase (CV: Sawasawa Sawa),PERFECT GIRL (Short Ver.),136,1583401
Joji,CAN'T GET OVER YOU (feat. Clams Casino),130,1448700
Zektbach,Turii ~Panta rhei~,148,1537583
Casey Abrams,Get Out (Keeno Remix),175,111840
Buta-Otome,Dark Road,82,213887
Rita,Aka no Sora,138,1662322
Mitsuki Nakae,Disappearing Queen,192,29582
ETIA.,Kagami no Mary Sue,180,500743
Perfume,One Room Disco,128,959072
Hoshina Megumi,Startrip,148,1245569
Duca,marry me ?,160,1023804
Hashimoto Miyuki,Yume no Mugen Kairou,108,278909
TOMOSUKE,Macuilxochitl,148,1621894
Metallica,Enter Sandman,124,1911884
Nostrap,[[=Please Intro=]],125,1244367
MYUKKE.,The 89's Momentum,128,1719730
MiddleIsland,"Piano Kyousoukyoku Ni-ban ""Nageki no Mai""",160,1520799
G4lvatron,Walking In Style,160,1650085
"Niwasaka Rira (CV: Yumezuki Yami), Nishinomiya Richer (CV: Hanazawa Sakura)",Snow Canvas,160,1899986
Yoosanhyakurei,Arigatou,180,341833
Blackout Band,Video Games,132,9811
20-moji to Iu Jisuu Seigen ni Idomi Tsuzukeru Kabochi,Princess Douka Onegai!!,169,1907079
Minstrel,futuristic recollection,200,1934280
sajou no hana,Tentou,197,1863628
Silk Sonic,Leave the Door Open,148,1775381
Kenji Ohtsuki to Zetsubou Shoujotachi,Hito toshite Jiku ga Bureteiru (TV Size),185,1815708
Irodorimidori,Snow Colored Score,164,2125627
Len,GHOST (feat. Such),192,1859662
capsule,RGB,185,1418131
chano & 40mP,Kiritorisen,165,1604973
Sayuri,Hana no Tou,170,1799574
Grand Thaw,SOLROS,188,1360321
Teary Planet feat. flower,Sunflower (Cut Ver.),200,1462559
Yu-Peng Chen @HOYO-MiX,Qilin's Prance,154,1693168
Iguchi Yuka,Mirai Shoot,170,38592
9nine,Shoujo Traveler (TV Size),129.5,1416627
NEGOTO,sharp # (TV Size),168,1123299
Azuna Riko,Kimi ni Furete (TV Size),90,1070052
Sasaki Sayaka,Golden Mission (Short Ver.),146,1067678
"Elu, SisterCleaire",Sunday Sunday Fruit Fool,124,1112138
Hekiyou Gakuen Seitokai Lv.2,Precious (TV Size),162,69264
ClariS,Drawing,132,299410
Lil Mama ft. Chris Brown & T-Pain,Shawty Get Loose,115,13365
Guilty Kiss,"Guilty Night, Guilty Kiss!",135,934576
Onishi Aguri,Elder flower (TV Size),120,1511491
Slava KPSS feat. Lida,Gav-Gav,170,1832981
S3RL x LIDA,My Girlfriend is a Raver,175,1511331
Beniiro Litmus,Rin to Shite Saku Hana no Gotoku,163,639320
Ryokuoushoku Shakai,sabotage,162,1789160
Nekomata Master feat. ATSUMI UEDA,Anelis,180,1632503
syh,Parade,180,2190345
Toby Fox,Dialtone,65,1584926
Ma15,Koi seyo onna no ko,180,22234
Rascal Flatts,What Hurts the Most,136,7314
Frederic Chopin,Revolutionary Etude (Shoji Meguro Arrangement),145,1746423
Masafumi Ogata,"Collision Chaos ""P"" mix",127.15,499809
Aqours,Seinaru Hino Inori,154,683241
Aqua Timez,Ketsui no Asa ni,168.07,695867
fripSide,whitebird,85,101906
azusa,Kimi no mamade (TV size),135,21717
Shugo Nakamura,WINNER (TV Size),91,1907567
DJ TOTTO,DORNWALD ~Der Junge im Kaefig~,169,857638
Hiroshi Iuchi,Theme of Butsutekkai,86.5,2404
passchooo,bright,166.13,1558557
yves,garden,150,1824205
Alpha (CV: Seto Asami),Darling in the Night (TV Size),188,1948591
"Marie, Shimotsuki Haruka",Hane no Naki Chou (Cut Ver.),143,1819682
Nekomata Master+,Driven Shooter,175,1915763
Mizuiro Blood,Koi wa Mizuiro,154.16,1419
SHISHAMO,Kimi no Tonari ni Itai kara,166,1262608
M2U,Velocity,160,593985
Bassy feat.Annabel,KAGUYA,154,683393
IAHN,Feel It,155,1017701
Doubutsu Biscuits x PPP,Ke-Mo-No-Da-Mo-No,162,1993224
Jun Togawa,Herikutsu Boy,170.45,2019715
Luna,Einstein yori Ai o Komete,179,1796602
Chihara Minori,Greed's Accident,150,15157
Natteke ft. tieff,Sunrise,115,801978
Breeze,La Plage,92.5,37302
Bond,Explosive,115.02,1828
HTT,Honey sweet tea time,165,23467
Hatsuki Yura,Carmilla,128,23695
Kola Kid,good old times,140,95647
Yanni,November Sky,93.26,42488
Ryu,rainbow rainbow,177,8420
wa.,Alruna,184,43552
Sakurakou K-ON Bu,Cagayake! GIRLS,170,1223459
"Yohihito Yano, Saki Kabata",LONELY ROLLING STAR,170,3210
supercell feat. Hatsune Miku,World is Mine,165,1784338
siqlo,Me & U,150,1235291
Chata,with you (Cut Ver.),105,52872
Minase Inori,harmony ribbon,137,1045974
Camellia,Syzygia,190,1053528
Aimer,Koiwazurai,94,1007646
Haruna Luna,Startear -TV size ver.-,134,194891
"Maya (CV: Tokui Sora), Megu (CV: Murakawa Rie)",Little * Treasure * Hunt,198,1009337
Sano Hiroaki feat. Tatsumi Megumi,Victory!,177,797568
Perfume,Daijobanai,128,967347
Memme,Geurida,180,688183
Anna,Hana no Youni (TV Size),156,1975655
Linkin Park,Lost,105,1940177
Linkin Park,Roads Untraveled,66.67,1066119
Morimori Atsushi,Txxs or get the fxxk out!!,220,1686490
YUZUNO,shining! our life (short ver),175,714343
Nanahoshi Kangengakudan,MAKE A LOSER (inst),300,1504828
JIN feat. Shouichi Taguchi (Sentimental Vector),Kagerou Days,192,1806242
Feryquitous x KAFU,Sen'yo,205,1832561
oneohkay,Last 7 Letters,95,1616937
KEiNA,Karen Setsugetsuka (Short Ver.),180,1004554
Woofle,Bossoft (Aquatic Boss Battle),146,424923
Ryokuoushoku Shakai,Hi wa Mata Noboru kara,142,1761238
yuki,Koisuru Kirigirisu (Short Ver.),142,1298234
EastNewSound,Gensoukyou Matsuribayashi (Aki),143,13753
ice,Theme of Miki Sayaka,160,47907
Suara,Akai Ito (TV SIZE),125,737924
ReoNa,forget-me-not,148,914051
Fujikawa Chiai,Kimi no namae,81,1000897
Rin,Eientewi set 13 ~ Extend Ash,138,1262466
ShinRa-Bansho,Mother Right Heron,79,977796
Aiyru,Station,174,1789344
toby fox,Bonetrousle,150,1916289
Kita Shuuhei,Mirai mo Kimi no Te no Naka de (TV Size),183,1898592
BoA,MASAYUME CHASING (TV Size),129,1931438
Tatsuya Kitani,Seija no Koushin (TV Size),158,1867537
Kvi Baba,TOMBI,132,1962959
tokuP,SPiCa feat. Hatsune Miku,162,1843187
Miyo Takashiro,Ikazuchi,203,1938528
Satou Shizuku,Hyakka Ryouran Phantasm Aoi-chan ReMIX,160,1769793
"Shinobu (CV: Ootsubo Yuka), Miyako (CV: Amamiya Sora)",Motto! Futari no Par~ty~Night,222,1906220
Roromiya Karuta (CV: Hanazawa Kana),sweets parade,206,1899333
Horie Yui,Say Cheese!,173,18706
Dream,Everlasting Snow,96,11566
Zektbach,Turii ~Panta Rhei~,148,130187
Miho Morikawa,Blue Water (TV Size),134.6,332133
Ushirokara Haiyoritai G,Taiyou Iwaku Moeyo Chaos,143,50324
Suzuki Konomi,Inochi no Tomoshibi (Cut Ver.),180,1900674
KISIDA KYODAN & THE AKEBOSI ROCKETS,STRIKE THE BLOOD,208,1711091
MAISONdes,"I Wanna Muchu feat. asmi, Three (TV Size)",158,2057129
canoue,Koori no Shiro,221,1823506
Rin Kagamine,Kokoro,140,3682
Linkin Park,ROADS UNTRAVELED,66.67,254923
Sergey Eybog,Timid Girl,160.05,352961
Ninomiya Yui,Dark seeks light,185,1675133
Mineko Yamamoto,"Falling, The Star Light",178,1682448
ClariS,Careless (TV Size),185,1540855
Nanahira x Camellia,Mofucchatte*Summer! Summer!! Summer!!!,128,1780060
Sasaki Shiori,Harenohi Step,135,1376952
Kaname Madoka (CV: Yuuki Aoi),Mata Ashita,125,1443367
Apollo Brothers,One Of Us,143,12081
PowapowaP,Good morning * Good bye,80,77877
Galileo Galilei,Aoi Shiori (TV Size),132,1180303
Ich + Ich,Pflaster,144,14847
Rick Astley,Never Gonna Give You Up 2,113.6,977
yuki,Koisuru Kirigirisu (Short Ver.),142,1669278
ChouCho,Natsu no Hi to Kimi no Koe (TV size ver.),107,190577
MaRLo feat. Jano,Haunted,132,182758
Michiko Naruke,Running Spirit,166,5256
Jun Senoue,Seaside Hill,160.16,18393
DM Ashura,aftershock!!,157,13442
Cranky,The Five [Short Edit],160,1194122
Hatsune Miku,Nijiiro,130,6086
777minus111,bonus level 2,80,29493
Sugar Donut,Dark Envy Knight,195,12669
PRASTIK DANCEFLOOR,Session 1 -Genesis-,178,38013
Shoji Meguro,It's SHOW TIME !,110,30791
GReeeeN,Ai Uta (Taiko Cut),85,15901
AiRI,Towa ni Saku Hana (short ver.),95,791610
Diao Ye Zong feat. nayuta,Tori yo Short Ver.,120,934243
mer,Golden Journey,178,1445593
Natsume Itsuki,AI to CodeQ no Hate,171,1515036
Reku Mochizuki,Falseimager,175,1398967
Nirvana,Come As You Are,121.51,1919661
Kanye West,On Sight,108.95,1541997
leroy,fuuuuck we were supposed to wear argyle,170,1788919
Yumeno Yuki,BWLAUTE BEIRRD,197,1014034
Billie Eilish,you should see me in a crown,75.23,979703
cYsmix feat. Emmy,Tear Rain,128,140805
"Yu Miyake, Masayuki Tanaka",Katamari on the Rocks,160,312
Super Smash Bros. Brawl,Song of Ashley,130,909
Larval Stage Planning,Hanabira to Ribbon,134,180633
ARForest,Colors,180,1397731
IAHN,Happy Welus (Original Mix),105,1018348
Switch,Shinitai-chan,132,1669009
Mili,Ame to Taieki to Nioi (TV Size),128,1953116
Glay,Way Of Difference,107,268
SHK,Holic,150,18758
Ling Yuan yousa,Gou Zhi Qi Shi (Cut Ver.),85,2108389
Atarayo,"""Boku wa..."" (TV Size)",180,2128380
BUMP OF CHICKEN,Route 66,171.94,1751170
Chata,len,173,1233463
Ironami,Melty Sweets,177,1829975
Nico Nico Douga,Hosaka of the Sprite Tribe,119.55,17243
Yu-Peng Chen @HOYO-MiX,Moonlike Smile,89,1552230
Haruna Ikeda,I hope so...,84,58412
Rche,Todestrieb,185,968678
ippo.tsk,taste the rain,140,1933643
Hashimoto Miyuki,5-fun Mae no Koigokoro,138,274289
MAISONdes,"Tokyo Shandy Rendez-vous feat. KAF, Tsumiki (TV Size)",137,1981688
Junk,Yellow Smile (bms edit),174,2010589
Mili,Cerebrite,148,1928448
asmi feat. Chinozo,Dokimeki Diary,185,2036318
Primary,crossroad,75,1536238
Shibayan feat. yana,Fall in the Dark,128,1531566
Nakae Mitsuki,Saigo no Yume,73,1066459
Asaka,Eternal Star,166,956424
toby fox,Your Best Friend,124,422018
UNDEAD CORPORATION,Death is just the beginning,120,1160488
EGOR NATS,INTERNET,170,1565208
Yano Anna,Shape My Story (TV Size),162,724366
Kyary Pamyu Pamyu,CANDY CANDY,130,47256
Yuki Kajiura,wo ist die Kaese?,120,695152
Naotyu- remixed by Est feat.miyu,Acque Minerali -Ultimo Blu-,172,26494
ESTi,Ray of Illuminati,150,21566
Koike Masato,Raging Waves,135.8,16417
KOTOKO,Aonatsu Line,164,2113310
Surf Curse,Freaks,179.5,2084309
ARForest,Aoba,150,1131726
Ruka. Nanase. Kana. Miho from AIKATSU*STARS!,episode Solo,134,449852
sumiisan,EMIYA -Time alter-,144,1105097
"Hashimoto Miyuki, Sasaki Sayaka",astral ability (Game Size),130,847695
ClariS,CheerS,102,1868545
