art,t,bpm,s
Nekomata Master feat. Misawa Aki,chrono diver -fragment-,185,429665
Thaehan,Insert Coin,178,2121944
KOTOKO,Light My Fire (TV Size),186,1754791
Masato Nakamura,Eggman's Theme,133,71061
Kim Leoni,Emergency (Nightcore Mix),174,45791
Tamura Yukari,Fantastic future (TV Size),172,89366
LiSA,ADAMAS (TV Size),191,859608
Set It Off,Horrible Kids,170,1249048
ALI,LOST IN PARADISE feat. AKLO (TV Size),122,1284215
Kajiura Yuki,Sis puella magica!,148,318013
*namirin,Koi no Hime Hime Pettanko,178,755852
Jason Hayes,Enchanted Forest,150,147714
Team.Nekokan[Neko] featuring. Katakiri Rekka,Salvage (TV Size),177.75,78506
Kenshi Yonezu,KICK BACK (TV Size),204,1864739
Momokurotei Ichimon,Nippon Egao Hyakkei,160,59569
MIMI feat. Hatsune Miku,Marshmary,182,962088
Tamura Yukari,Himitsu no Tobira kara Ai ni Kite (TV Size),184,1618250
Coda,Fighting Gold (TV Size),184,886007
Jennifer Karr,My Life As A Teenage Robot,171,648863
Wire,Brazil,213.25,2112089
ensou ft. GUMI,COMA,180,589530
Fujijo Seitokai Shikkou-bu,Best FriendS,163,249939
xi,Last Resort,252,1625860
Aitsuki Nakuru,Monochrome Butterfly (Cut Ver.),175,2197290
NICO Touches the Walls,Diver,149,519090
FELT,In my room,165,399061
Lon,Mischievous Function,150,27441
Tomatsu Haruka,courage,196,226289
Bangbros,Yeah Yeah Yeah! (Nightcore Mix),162.17,53096
nekodex,circles!,184,355322
Brad Breeck,Step Off Playa,140,1539675
Phineas and the Ferb-Tones,Gitchee Gitchee Goo (Extended),163.05,27246
MisoilePunch ~Takenoko Soe~,Fin.ArcDeaR Long ver.,225,2053483
Eve,Kaikai Kitan (TV Size),185,1270438
kors k as teranoid,Bad Maniacs,195,1423576
MegaDriver,Bluer Than Metal,200,3295
PSY,GANGNAM STYLE,132,55799
Ito Kashitaro,Kiritorisen,165,831857
Yuaru,Asu no Yozora Shoukaihan,185,384772
Suzuki Masayuki,Love Dramatic feat. Ihara Rikka (TV Size),129,1042420
Roselia,MIIRO,195,1002819
Herve Lavandier,Shuriken School (TV Size),160,1114339
Nightcore,Hymn,212.55,11951
Sayuri,Sore wa Chiisana Hikari no Youna,144,474376
Kano,Stella-rium,177,386117
Light,Anoneanoneanoneanoneanoneanoneanoneanone Kouji ga Okureteruno,126,822716
Aoi Eir,IGNITE (TV size ver.),171,190222
Roses Epicurean,Nightmare -Overture-,115,461525
