m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,ar,accuracy,cs,drain
0,829747,951.8,215.73,2035,[4K] Zan's Blue Another,376340,112,4.68567,247138,92069,404619,5,8.5,4,8.5
0,1132009,949.09,152.14,3210,[4K] Hamids' Karasu!,530923,131,4.10239,201394,83156,413529,5,8,4,8
0,2054608,932.14,260.79,1316,[4K] It's Fxxkin',913114,161,5.04189,179100,62940,433750,5,7.7,4,9
0,4610729,931.48,330.83,845,[4K] V3,2182214,118,5.63617,24725,5792,490912,5.3,8.4,4,8.4
0,753769,929.2,199.35,2448,[4K] Insanity,340810,131,4.71185,377715,95044,401821,5,8,4,8
0,1231247,926.12,188.54,2516,[4K] Another,581729,186,4.47021,197244,72282,424408,5,8,4,8
0,963330,924.16,203.81,2289,4K Goddess,387756,347,4.59831,192893,83507,413170,5,8.5,4,8.5
0,803702,913.14,80.75,5619,[4K] Hyper,366126,123,3.11086,645886,85495,411208,5,8,4,7.7
0,847379,912.44,339.64,612,[4K] L45T C4LL,386950,242,5.62593,162612,85695,411003,5,8,4,8
0,798270,897.44,105.54,4025,[4K] Maximum,363594,88,3.63364,306449,90316,406361,5,8.5,4,8.5
0,1017258,891.92,154.87,3002,[4K] EXHAUST!!,476221,113,4.07479,515667,87497,409363,5,7.5,4,8
256,3976253,890.84,459.52,323,[4K] Incomprehensible Musicality,1925721,455,7.56975,62956,29561,466981,5,8,4,9
0,830047,881.42,229.81,1909,[4K] SHD,359023,171,4.92821,194480,89054,407655,5,7.6,4,8.2
0,5216542,872.03,771.95,46,[4K] Re:7sRef,2404667,252,8.0604,35428,9008,487668,9,7.6,4,8.2
0,932876,860.89,110.3,4050,[4K] MX,360565,279,3.54961,234064,43196,453481,5,7.5,4,7
0,767311,858.93,189.64,2260,[4K] Starry's Another Lv.29,347779,148,4.62108,306328,96280,400406,5,8.2,4,8.5
0,694150,837.59,63.06,6108,[4K] ADVANCED Lv.12,310607,108,2.98427,1049499,92735,403943,5,7.5,4,7.5
0,5013533,828.76,333.24,845,[4K] YOU HAVE HAD MY HEART,2335579,40,5.76512,48197,9096,487592,5,9,4,9.5
0,3583022,825,97.28,5067,[4K] STEPDWI's Hyper,1751372,111,3.44262,67558,29492,467185,5,7.5,4,7.5
0,1040757,824.31,142.18,2972,[4K] Avalon's Insane,484327,268,3.93873,166185,86672,410008,5,8,4,8
0,789825,811.19,70.84,5478,[4K] Avalon's ADVANCED,359196,118,3.1074,560419,94938,401808,5,7.5,4,7.5
0,983881,809.7,163.96,2574,[4K] MX,459223,227,4.33357,192614,88517,408173,5,8,4,8
0,1293172,808.67,354.87,610,[4K] Paradox,612842,382,5.83291,151011,77817,419129,5,7.3,4,9
0,2652889,807.76,101.33,4729,[4K] Hard,1276332,130,3.49752,81131,45127,451607,5,7.5,4,7.5
0,5303528,799.27,446.2,393,[4K] RE:MASTER,2433731,146,6.52141,47629,7448,489113,5,7.2,4,8.2
64,1535607,786.04,383.22,516,[4K] Unknown Autumn,727348,340,4.37544,92177,43565,453119,5,8.5,4,8.5
0,2336676,770.26,270.56,1294,[4K] Apocalypse,1118731,121,5.32417,96980,42909,453779,5,8,4,8.2
0,1535607,762.19,176.87,2516,[4K] Unknown Autumn,727348,340,4.37544,92177,43565,453119,5,8.5,4,8.5
0,719310,745.08,86.43,5815,4K Hyper+,187154,110,3.29244,547803,96295,400454,5,7,4,8
0,2749117,731.41,381.76,516,[4K] HEAVENLY,1326970,183,5.97854,111328,37546,459131,5,7.9,4,8.4
0,824273,726.16,65.21,6185,[4K] Hyper,376340,112,2.97919,489490,92069,404619,5,7.5,4,7.5
0,360804,715.1,65.6,6185,S.Star's 4K ADVANCED,134829,117,2.91666,634744,107499,387951,5,7,4,8
0,5280625,713.54,829.11,33,[4K] farewell: to my memories,2425833,237,8.5893,30231,7474,489233,5,7.2,4,7.4
0,3782005,706.79,171.17,2687,[4K] Another,1836209,338,4.33336,84526,21618,475067,5,7.5,4,7.5
